日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
100年07月21日,12.02,5.08,2.47,,
100年07月22日,12.58,4.86,2.59,,
100年07月25日,12.58,4.86,2.59,,
100年07月26日,13.03,4.69,2.68,,
100年07月27日,13.9,4.4,2.86,,
100年07月28日,14.87,4.11,3.06,,
100年07月29日,14.36,4.26,2.95,,
100年08月01日,14.97,4.08,3.08,,
100年08月02日,15.27,4.0,3.14,,
100年08月03日,15.38,3.97,3.16,,
100年08月04日,14.97,4.08,3.08,,
100年08月05日,13.95,4.38,2.87,,
100年08月08日,13.24,4.62,2.72,,
100年08月09日,13.85,4.41,2.85,,
100年08月10日,14.82,4.12,3.05,,
100年08月11日,14.66,4.17,3.02,,
100年08月12日,13.75,4.44,2.83,,
100年08月15日,14.15,4.32,2.91,,
100年08月16日,13.95,4.38,2.87,,
100年08月17日,13.8,4.43,2.84,,
100年08月18日,13.44,4.55,2.76,,
100年08月19日,12.93,4.72,2.66,,
100年08月22日,13.14,4.65,2.7,,
